Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,links,Image,description,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group
Swedish Vallhund,5,5,3,4,2,2,Double,Short,3,4,3,4,4,4,3,4,https://www.akc.org/dog-breeds/swedish-vallhund/,https://www.akc.org/wp-content/uploads/2017/11/Swedish-Vallhund-Illo.jpg,"With their thick sable coat, sturdy construction, and overall no-frills look, Vallhunds are a timeless breed, as comfortable in a suburban backyard as they were on the prow of Viking longships 1,200 years ago. These lively herders are built long and low to the ground—in not quite as exaggerated a fashion as their distant cousins the corgis, but the idea is the same: Their build makes it easier to nip at the heels of cattle and avoid kicks to the head. Balance, power, and smooth movement are breed hallmarks. The long and low Swedish Vallhund, Viking Dog of ancient legend, is a smart and sociable herder of dense coat and boundless energy. These rugged cattle dogs are known for their zest for life, unique vocalizations, and cheerful demeanor.",29.21,34.925,9.0718474,15.875732950000002,12.0,15.0,Herding Group
Sealyham Terrier,5,3,3,3,3,1,Wiry,Medium,4,3,5,4,4,3,4,4,https://www.akc.org/dog-breeds/sealyham-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Sealyham-Terrier-Illo-3.jpg,"Standing less than 11 inches at the shoulder and weighing about 24 pounds, Sealys are not big enough to be considered medium-sized dogs, but they stand among the strongest and most substantial of what we think of as small dogs.A typical Sealy is well-muscled, built low to ground, and moves easily with long, determined strides. The weatherproof coat is predominantly white, and a long, broad head is furnished with lavish facial hair. Despite their rep as the bruiser among short-legged terriers, Sealys are cute, funny, affectionate, outgoing, and trainable, if a bit stubborn. Their alertness and a big-dog bark make Sealys excellent watchdogs. Blessed with an adaptable nature, Sealys are amenable to city dwelling or country life. The Sealyham Terrier is brave and spirited, but not as spiky as smaller terriers. These sturdy, outgoing companions are recognized by their “fall,” the mass of hair covering the forehead. Sealy fans enjoy their dog’s sly sense of humor.",26.67,26.67,10.43262451,10.88621688,12.0,14.0,Terrier Group
Spanish Water Dog,5,4,3,1,4,2,Corded,Medium,3,4,3,3,4,4,3,5,https://www.akc.org/dog-breeds/spanish-water-dog/,https://www.akc.org/wp-content/uploads/2017/11/Spanish-Water-Dog-Illo-2.jpg,"The unique look of these inexhaustible workers begins with the coat. It’s naturally curly and wooly head to toe, and when grown out will often form tight, tapered cords. In full coat, the facial hair covers the expressive brown eyes. Colors can be black, brown, beige, white, or particolor (black, brown, beige, with white). “Rustic” is the word often used to describe the overall look of this sturdy dog of medium size (a male will stand a little under 20 inches at the shoulder). The inexhaustible Spanish Water Dog is a dual-purpose breed whose hallmark is a coat of wooly curls. Used as both a herder and waterfowl retriever in his homeland, this rustic charmer is a lively family companion and vigilant watchdog.",40.005,50.165,14.06136347,22.22602613,12.0,14.0,Herding Group
Briard,3,3,3,1,4,2,Double,Long,3,3,4,3,3,3,1,3,https://www.akc.org/dog-breeds/briard/,https://www.akc.org/wp-content/uploads/2017/11/Briard-Illo-2.jpg,"Briards are herders known for a wavy coat of either gray, tawny, or black, and an impressive head topped by a peek-a-boo hairdo parted naturally in the middle. A luxurious beard and eyebrows accentuate an expression described as “frank and questioning.” Standing between 22 and 27 inches at the shoulder, Briards are burly and rugged but move with a nimble-footed gait.They possess traits common to many other herders: trainability, brains, a protective eye toward family (especially kids, whom they regard as their flock), and wariness with outsiders. These are large, tireless dogs—it is said that just two or three Briards can handle 700 head of sheep—and novice owners might be overwhelmed by their work drive and zest for life. The Briard packs so much loyalty, love, and spirit into its ample frame that it's often described as a ""heart wrapped in fur."" The dashing good looks of these muscular Frenchmen radiate a distinct aura of Gallic romance and elegance.",55.88,68.58,24.947580350000003,45.359237,12.0,12.0,Herding Group
Berger Picard,3,3,3,3,1,1,Wiry,Medium,3,3,4,3,4,4,2,4,https://www.akc.org/dog-breeds/berger-picard/,https://www.akc.org/wp-content/uploads/2017/11/Berger-Picard-illustration.jpg,"You can spot a Berger Picard a mile away thanks to his erect ears standing 4 to 5 inches high, a wavy fawn or brindle coat, and a strong tail that tapers to a distinctive J-hook. Males stand as high as 26 inches, and females as low as 21 inches. The eyes are dark and glistening, and the rectangular head is furnished with shaggy eyebrows, beard, and mustache— the very image of a sagacious and worldly Frenchman.The Berger Picard is an ideal companion for athletic owners. Their rugged constitution, agility, and boundless energy make them eager partners in all kinds of sports, games, and outdoor pastimes. Exercise is a must; prolonged idleness and neglect will likely lead these sensitive, super-smart dogs to destructive behavior. The Berger Picard is a lanky herding dog of strong bone and sturdy build. Picards spent centuries as take-charge independent problem-solvers, so early socialization and positive training are necessary to cope with their stubborn streak.",54.61,64.77,22.6796185,31.751465900000003,12.0,13.0,Herding Group
Entlebucher Mountain Dog,5,3,5,3,1,2,Smooth,Short,3,3,5,4,3,5,3,4,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Entlebucher-Mountain-Dog-illustration.jpg,"Entlebucher (ENT-leh-boo-cur) Mountain Dogs are muscular, long-backed cattle dogs standing from 16 to 21 inches at the shoulder. They have short, sturdy legs; a striking black, white, and tan coat; and an attentive, friendly face. Entles are famous for their agility, balance, and boundless enthusiasm.Entles are vigilant protectors of their four- or two-legged “herds” and, when properly socialized, make durable and trustworthy playmates for older kids. Energetic Entles require lots of exercise, family time, and direction to reach their full potential. Inexperienced owners might be overwhelmed by this strong, self-confident, go-go herding dog eager for work.Entlebuchers are fine dogs—clever, zesty, happy—but not for everyone. The Entlebucher Mountain Dog, tricolor “Laughing Dog” of the Swiss Alps, is a rugged and determined mover of cattle. These spirited, energetic workers and athletes are independent problem solvers and are happiest with a job to perform.",40.64,53.34,18.1436948,29.48350405,11.0,13.0,Herding Group
Treeing Walker Coonhound,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5,https://www.akc.org/dog-breeds/treeing-walker-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Treeing-Walker-Coonhound-Illo.jpg,"Few things can quicken a coon hunter’s pulse like the sight of this swift, tricolored hound in full stride—the long, muscular legs, the powerful and propulsive hindquarters, and the streamlined frame all working to cover maximum ground with minimum effort. Later, basking in the warmth of a campfire after an honest night’s work, this sweet-faced hound will look up and stir your soul with his gentle, pleading expression. Mercy, what a pretty picture! No wonder Treeing Walkers are called the People’s Choice. A smart, brave, and sensible hunter, the Treeing Walker Coonhound is a genuine American favorite, nicknamed ""The People’s Choice."" Don’t let the name fool you—Walkers are runners and are capable of covering a lot of ground in a hurry.",50.8,68.58,22.6796185,31.751465900000003,12.0,13.0,Hound Group
Icelandic Sheepdog,5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5,https://www.akc.org/dog-breeds/icelandic-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Icelandic-Sheepdog-Illo-2.jpg,"Icelandics are one of the 50 or so northern breeds from around the world classified as spitzes. The breed’s “spitziness” is expressed by a dense coat, foxy face, pointed ears, and a bushy, curling tail. Icelandics, standing no higher than 18 inches at the shoulder, are just under what we’d consider medium sized. They come in several predominant colors, always accompanied by white markings. An endearing trait is the facial expression: friendly, happy, always looking as though there’s no place they’d rather be than with you. The Icelandic Sheepdog, Iceland’s only native dog breed, is a charmingly friendly and faithful all-around herder of small-to-medium size. A densely coated Nordic spitz-type breed, Icelandics are enthusiastically devoted to their humans.",41.91,45.72,11.33980925,13.6077711,12.0,14.0,Herding Group
Wirehaired Vizsla,5,5,3,3,1,2,Wiry,Short,5,5,3,4,5,5,3,5,https://www.akc.org/dog-breeds/wirehaired-vizsla/,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Vizsla-Illo-2.jpg,"WVs are close relatives of Vizslas but a distinctly separate breed. The key distinguishing feature is coat type. Unlike the sleek Vizsla, WVs have a dense wiry coat, with a shaggy beard and eyebrows setting off a bright, lively expression.Both Vizsla breeds are classified as medium-sized, but an ideal WV will stand a shade taller and be a bit heavier than his smooth-coat cousin. The two breeds share the same striking red coloring (golden-rust), with a nose and eyes that smartly complement the coat. The Wirehaired Vizsla is an exuberant hunter on land or lake, whose dense, wiry coat distinguishes him from his close cousin, the Vizsla. Calm and gentle around the house, these upbeat Hungarians like running, swimming, and upbeat play.",54.61,63.5,20.41165665,29.48350405,12.0,14.0,Sporting Group
Portuguese Podengo Pequeno,5,5,5,3,2,1,Wiry,Medium,3,4,3,4,3,4,3,4,https://www.akc.org/dog-breeds/portuguese-podengo/,https://www.akc.org/wp-content/uploads/2017/11/Pumi-Illo-2.jpg,"The Pequeno is the smallest of Portugal’s three Podengo breeds, standing 8 to 12 inches at the shoulder and weighing no more than 13 pounds. A distinctive feature is the wedge-shaped head, with expressive almond-shaped eyes and erect, pointed ears. The long-backed body is muscular, the tail tapered and sickle-shaped, and the coat either short and dense or long and wiry. The overall look is that of a rustic, no-nonsense rabbit dog unspoiled by passing fashions. Classified as a hound, the alert and playful little Portuguese Podengo Pequeno is a quick, athletic rabbit hunter of ancient lineage. Pequenos love to run, romp, and chase when outdoors but make charming and well-mannered housemates.",20.32,30.48,4.082331330000001,5.8967008100000005,12.0,15.0,Hound Group
Nederlandse Kooikerhondje,5,3,3,3,2,2,Double,Medium,4,3,3,4,5,4,3,4,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/,https://www.akc.org/wp-content/uploads/2017/11/nederlandse_kooikerhondje_illustration.jpg,"The Kooikerhondje (Koi-ker-hond-yuh)—the “little white and orange dog with a big heart”—is a sporty, eye-catching fellow with a silky all-weather coat of white with red patches. They are instantly recognizable thanks to their large, black-tipped ears and the richly feathered tail they wag proudly. The breed has the sturdy bone structure expected of a serious hunter, but the overall picture is that of a harmoniously built dog of smooth, flowing contours and springy gait. The Nederlandse Kooikerhondje is lively, agile, self-confident, good-natured and alert. The breed is faithful, easy-going and friendly in the home. Outdoors he is a true sporting dog being keen, swift, tough, attentive and energetic. With sufficient perseverance and stamina, he enjoys working and does so with a cheerful character.",35.56,43.18,9.0718474,13.6077711,12.0,15.0,Sporting Group
Affenpinscher,3,3,3,3,3,1,Wiry,Short,5,3,3,4,3,3,3,3,https://www.akc.org/dog-breeds/affenpinscher/,https://www.akc.org/wp-content/uploads/2017/11/Affenpinscher-illustration.jpg,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.",22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group
Finnish Lapphund,5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3,https://www.akc.org/dog-breeds/finnish-lapphund/,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Lapphund-Illo-2.jpg,"Finnish Lapphunds, with their luscious coat, sweet spitz-like face, and profusely coated tail that curves over the back, are instantly recognizable as Nordic dogs. Lappies stand about 20 inches at the shoulder and are surprisingly muscular and substantial for their inches. Quick and agile, they move effortlessly and can go from a trot to a full gallop in a second flat.Lappies are friendly and submissive companions, though a bit wary of strangers. They crave companionship and will be miserable when neglected. A distinctive breed trait is a strong “startle reflex,” the result of centuries spent ducking the antlers of ornery reindeer. Despite their propensity for shedding and barking, Lappies are popular pets in their homeland. The weatherproof Finnish Lapphund is a tough and substantial reindeer herder from north of the Arctic Circle. This remarkably empathetic breed is among the friendliest of all dogs—once he’s satisfied that you aren’t a reindeer rustler.",40.64,53.34,14.968548210000002,24.04039561,12.0,15.0,Herding Group
Scottish Deerhound,5,3,5,3,1,1,Wiry,Medium,3,3,3,3,3,3,1,3,https://www.akc.org/dog-breeds/scottish-deerhound/,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Deerhound-Illo-2.jpg,"Stand back: You need a little distance to fully appreciate the majesty of this ancient beast. In silhouette we see a noble coursing hound struck from the classic Greyhound template. Deerhounds are, though, much larger and more substantial than Greyhounds—a good-size male can stand 32 inches at the shoulder and weigh 110 pounds. The crisp coat is seen in several colors; breed aficionados prefer the dark blue-gray coat. The tapered head and long neck add extra lift to an already stately hound. The crisply coated Scottish Deerhound, “Royal Dog of Scotland,” is a majestically large coursing hound struck from the ancient Greyhound template. Among the tallest of dog breeds, the Deerhound was bred to stalk the giant wild red deer.",71.12,81.28,34.01942775,49.895160700000005,8.0,11.0,Hound Group
Plott Hound,0,0,0,0,0,0,Smooth,Short,0,0,0,0,0,0,0,0,https://www.akc.org/dog-breeds/plott-hound/,https://www.akc.org/wp-content/uploads/2017/11/Plott-Illo-2.jpg,"The hound with the curious name (we’ll get to that) and unique history (we’ll get to that, too) is a streamlined, long-tailed, light-footed hunter standing as high as 25 inches at the shoulder. The flashy coat comes in an array of brindle-stripe patterns, from black flecked with gold to flaming orange and russet, in addition to some solid colors. The medium-length ears hang gracefully, and the leather of the nose, lips, and eye rims are black, setting off an inquisitive and confident expression. The Plott Hound, a hound with a curious name and a unique history, is a rugged, relentless hunting dog who is a mellow gentleman at home but fearless, implacable, and bold at work. This eye-catching scenthound is North Carolina's state dog.",50.8,63.5,18.1436948,27.2155422,12.0,14.0,Hound Group
Norwegian Buhund,5,3,3,3,2,1,Double,Medium,3,3,4,4,3,4,4,4,https://www.akc.org/dog-breeds/norwegian-buhund/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Buhund-Illo-2.jpg,"The Buhund, a prototypical spitz, provides a good opportunity to explain the term. Spitz are cold-weather breeds characterized by a dense coat, a tail curved tightly over the back, a wedge-shaped head, and erect, pointed ears (“spitz” means “pointed” in ancient German). They can be pint-sized like Pomeranians, mighty like Malamutes, or mid-sized like the lithe but sturdy Buhund. Males can stand 18.5 inches high and weight up to 40 pounds. Coat colors are wheaten or black. The densely coated Norwegian Buhund, a Nordic spitz-type closely associated with the Vikings, is a medium-sized cold-weather worker adept at herding and guarding. As family dogs, Buhunds are smart, affectionate, and steadfastly devoted.",40.64,46.99,11.79340162,18.1436948,12.0,15.0,Herding Group
Glen of Imaal Terrier,5,3,3,2,3,2,Wiry,Medium,3,3,3,4,3,3,2,3,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Glen-of-Imaal-Terrier-Illo-2.jpg,"Glens are scruffy, sturdy, low-slung terriers standing no more than 14 inches at the shoulder. There’s nothing fancy or fussed-over about Glens.Rather, their wiry no-frills coat, broad head, and bowed front legs suggest a working farm dog from a time and place where substance was more important than style. And yet, they’re also ridiculously cute. It takes a heart of stone to resist reaching down to give a Glen a scratch behind the ear and a pat on the well-muscled rump. Gentler, less excitable than most terriers, but still bold and spirited, the double-coated Glen of Imaal Terrier is named for one of Ireland's most remote locales. The brave but docile Glen is a strong, no-fuss dog built for hard work.",31.75,35.56,14.51495584,18.1436948,10.0,15.0,Terrier Group
Ibizan Hound,5,3,5,2,1,1,Wiry,Short,3,4,3,4,3,5,3,5,https://www.akc.org/dog-breeds/ibizan-hound/,https://www.akc.org/wp-content/uploads/2017/11/Ibizan-Hound-Illo-2.jpg,"Ibizans are lithe and leggy visitors from the dawn of civilization. Art history students will recognize the elongated head, with its large erect ears, as a familiar motif of ancient Egypt. The elegant, racy body stands 22.5 to 27.5 inches at the shoulder, with coat colors of solid red or white, or red and white patterns. The rosy-colored leathers of the nose, eye rims, and lips—along with amber or caramel eyes—perfectly complement the coat. The breed’s quiet grace is often described as deer-like. The Ibizan Hound is a lithe and leggy visitor from the dawn of civilization, bred as a rabbit courser on the rocky shores of Spain’s Balearic Islands. World-class sprinters and leapers, Ibizans need ample space to air out their engines.",57.15,69.85,20.41165665,22.6796185,11.0,14.0,Hound Group
Bergamasco Sheepdog,3,3,3,1,1,2,Corded,Long,3,3,4,3,3,3,1,3,https://www.akc.org/dog-breeds/bergamasco-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Bergamasco-Illo.jpg,"Beneath the one-of-a-kind coat is a large, muscular shepherd dog of ancient pedigree. But, since the coat is the breed’s hallmark, let’s take a close look. The Bergamasco Sheepdog has hair of three different textures that form naturally occurring loose mats, or “flocks” (strands of hair woven together, creating flat layers of felted hair), covering the body and legs. The flocks provide protection from the fierce cold and wild predators of the Italian Alps, the breed’s ancestral homeland.Bergamascos are bright, loyal, loving, and trainable—with a dash of mountain-dog independence. They take to watching over loved ones with a serene vigilance. Wary of strangers until properly introduced, Bergamascos are aggressive only as a last resort. Generally happy with kids and other animals, the low-maintenance and robustly healthy Bergamasco is much more than a show-stopping hairdo. Eager to please, smart, and stubbornly devoted to work, Bergamascos are patient but protective.",55.88,59.69,25.85476509,38.10175908,13.0,15.0,Herding Group
Polish Lowland Sheepdog,5,3,3,2,4,2,Double,Long,3,4,5,5,4,3,4,4,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Polish-Lowland-Sheepdog-Illo-2.jpg,"First, about that nickname: PON is the acronym for the Polish breed name, Polski Owczarek Nizinny. PONs aren’t particularly large dogs, standing no more than 20 inches at the shoulder, but they are muscular and stocky. The rectangular body is covered head to toe with a double coat—long and shaggy on top, soft and dense below, and it comes in several colors. The head’s profuse coat covers the eyes, which convey the keen, penetrating gaze so common in watchdogs and herders. A shaggy-coated herding dog who thrives on exercise and hard work, the Polish Lowland Sheepdog is clever, confident, and a bit stubborn. Compact, alert, and adaptable, they are beloved companions and watchdogs of Polish city dwellers.",43.18,50.8,13.6077711,22.6796185,12.0,14.0,Herding Group
Otterhound,5,3,3,2,2,3,Rough,Medium,4,3,3,4,4,3,5,3,https://www.akc.org/dog-breeds/otterhound/,https://www.akc.org/wp-content/uploads/2017/11/Otterhound-Illo-2.jpg,"These big, bouncy hounds were ideally suited for otter hunting. OHs are built to be expert swimmers, from the top of their rough, waterproof coat to the bottom of their big webbed feet. A broad chest and powerful shoulders allow them to swim all day without tiring. Their large black nose is amazingly sensitive and could follow an otter’s underwater scent trail over great distances. And the OH’s size and strength enabled them to take on a sharp-toothed, razor-clawed otter that might weigh 20 pounds. Big, boisterous, and affectionate, the Otterhound was bred in medieval England for the now-outlawed activity of otter hunting. This scarce breed is known for his dense shaggy coat, webbed feet, acute sense of smell, and affinity for swimming.",60.96,68.58,36.2873896,52.16312255,10.0,13.0,Hound Group
Pharaoh Hound,5,3,5,3,2,1,Smooth,Short,3,3,3,3,4,4,3,4,https://www.akc.org/dog-breeds/pharaoh-hound/,https://www.akc.org/wp-content/uploads/2017/11/Pharaoh-Hound-Illo-2.jpg,"Pharaohs are sleek, aerodynamic coursing hounds bred for high-speed pursuit on rocky terrain. Among their several distinguishing traits are a tight tan coat with matching leather on the nose, ears, and eye rims; ravishing amber eyes; a white-tipped tail; the ability to smile; and a unique way of blushing when happy or excited (“His face glows like a god,” wrote an admirer some 3,000 years ago). These elegant visitors from antiquity posses the speed and graceful movement of all coursers descended from Bronze Age hounds. The Pharaoh Hound, ancient ""Blushing Dog"" of Malta, is an elegant but rugged sprinting hound bred to course small game over punishing terrain. Quick and tenacious on scent, these friendly, affectionate hounds settle down nicely at home.",53.34,63.5,20.41165665,24.947580350000003,12.0,14.0,Hound Group
Dandie Dinmont Terrier,4,3,3,2,3,1,Double,Medium,4,3,4,3,4,3,3,3,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Dandie-Dinmont-Terrier-Illo-2.jpg,"Physical hallmarks of the Dandie Dinmont Terrier include a large head covered with profuse, silky white hair; long, hanging ears tipped with feathering and coming almost to a point; big, round eyes full of brightness and expression; and a long, low torso and short legs. The crisp body coat comes in two spicy colors: pepper (bluish black to silvery gray) and mustard (reddish brown to pale fawn).Weighing no more than 24 pounds, Dandies are alert and intelligent watchdogs with a big baritone bark. Dandies enjoy romping and cuddling with kids, but aren’t as hyper as some small dogs. They are terriers, though, with typical willfulness, independence, and courage. Dandie owners get best results with positive, motivational training. The unique-looking Dandie Dinmont Terrier is a tough but dignified little exterminator. Sturdily built for the rigors of farm life, they will agreeably adapt to city living. Dandies are compact companions blessed with a big personality.",20.32,27.94,8.164662660000001,10.88621688,12.0,15.0,Terrier Group
Pyrenean Shepherd,5,3,3,3,2,2,Smooth,Medium,3,5,5,4,5,5,4,5,https://www.akc.org/dog-breeds/pyrenean-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Shepherd-Illo-2.jpg,"These tough, lean, and lively herders, famous for their vigorous and free-flowing movement, come in two coat varieties: rough-faced and smooth-faced. Roughs have profuse, “windswept” hair above the muzzle and a generally harsh coat; smooths have short facial hair, a finer-textured coat, and a slightly longer, pointier muzzle. Both varieties of this sinewy, rectangular breed come in many colors and patterns. Pyr Sheps see the world through dark almond-shaped eyes conveying an alert and cunning expression. Enthusiastic, mischievous, and whip-smart, the Pyrenean Shepherd is an indefatigable herder descended from ancient sheepdogs of the Pyrenees mountains. Tough and sinewy Pyr Sheps come in “rough-faced” and “smooth-faced” coat varieties.",38.1,53.34,6.80388555,13.6077711,0.0,0.0,Herding Group
Skye Terrier,5,3,3,3,3,1,Double,Long,3,3,3,3,3,3,3,3,https://www.akc.org/dog-breeds/skye-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Skye-Terrier-Illo.jpg,"Long, low, and level, this unique earthdog is among the AKC’s most distinctive-looking breeds. Skyes stand 9 or 10 inches high and feature a long, flat-lying coat and peekaboo hairdo. They’re known for big, feathery ears that stand up like bat wings, but Skyes can also have “drop ears,” which lie flat against the large, long head. Beneath the profuse coat are short, muscular legs and a deep chest. When seen in profile, these elegant but substantial terriers are twice as long as they are high. “The heavenly breed with the heart of a lion,” the long, low, and level Skye Terrier is among the AKC’s most distinctive-looking breeds. This elegant but sturdy aristocrat was bred as an exterminator on Scotland’s remote Isle of Skye.",24.13,25.4,15.875732950000002,20.41165665,12.0,14.0,Terrier Group
Canaan Dog,3,3,3,4,2,1,Smooth,Short,3,3,4,3,4,3,5,3,https://www.akc.org/dog-breeds/canaan-dog/,https://www.akc.org/wp-content/uploads/2017/11/Caanan-Dog-Illo.jpg,"Canaan Dogs are lean, bushy-tailed dogs standing 19 to 24 inches at the shoulder. The coat is straight and harsh, and comes in various colors and patterns. Erect, expressive ears and dark almond eyes convey an inquisitive expression. Canaans move at a brisk, natural trot. They are rugged, agile, and apparently tireless, making them a nice fit for hikers and runners.Canaans are clever, confident, and territorial. They will end up “owning” passive owners who haven’t establish themselves as top dog in the family pack. Early training and socialization are key. When positive methods are applied, these ancient wonder-dogs train beautifully. Agility, obedience, herding trials, and sentry duty are a few outlets for their work ethic. One of the AKC's oldest breeds, the Canaan Dog is the national dog of Israel. This quick, medium-sized pasture dog is docile with family, aloof with strangers. The ever-alert Canaan is a vocal and persistent guardian of flock and home.",48.26,60.96,15.875732950000002,24.947580350000003,12.0,15.0,Herding Group
American English Coonhound,3,3,5,2,1,1,Smooth,Short,3,3,3,3,3,4,4,3,https://www.akc.org/dog-breeds/american-english-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133614/American-English-Coonhound-illustration.jpg,"Standing as high as 26 inches at the shoulder, American English Coonhounds are deep-chested, sweet-faced athletes beloved by sportsmen for their speed and endurance. Stretched tightly across the athletic frame is a medium-length coat of various patterns, some with ticking. The head is broad with a domed skull, with soft, low-hung ears and dark-brown eyes that glow with warmth and kindness.American English Coonhounds are mellow when off duty but tenacious and stubborn in pursuit of their ring-tailed prey. Their work drive and energy, the patience it takes to train them for things other than coon hunting, and their loud, ringing bark can make the breed a bad fit as house pets for novice owners. Some passionate fans of American English Coonhounds feel that without a sporting outlet for this breed’s houndy virtues, you’re simply wasting a good dog. These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.",58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group
Chinook,4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3,https://www.akc.org/dog-breeds/chinook/,https://www.akc.org/wp-content/uploads/2017/11/Chinook.21.jpg,"Tawny-coated, no-frills Chinooks are muscular and substantial, with males standing as high as 26 inches at the shoulder. Females, with their distinctly feminine look, are a bit smaller. Chinooks were conceived as dual-purpose haulers, with the power of freighting dogs and the speed of sled racers. They are the picture of stouthearted dignity, with a kindly twinkle in their dark, almond eyes.Chinooks are calm, people-oriented dogs with a special feel for children. They are trainable workers who aim to please. Sledding, carting, obedience, agility, search-and-rescue work, and herding are a few pursuits they’ve mastered. Chinooks are not particularly busy dogs, but they need consistent exercise to stay in proper hard condition. The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.",55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group
Finnish Spitz,5,5,4,3,2,2,Double,Medium,3,3,3,4,3,5,5,4,https://www.akc.org/dog-breeds/finnish-spitz/,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Spitz-Illo-2.jpg,"The balanced, squarely symmetrical Finnish Spitz will stand not more than 20 inches at the shoulder and are easily recognized by their  foxy face and prick ears projecting a lively expression, and a curving plumed tail. Their dense coat of glorious golden-red which is never monochromatic gives them the Finnish Spitz “Glow.” Finkies or Finns, as they are nicknamed, move with a bold and brisk gait.Finkies  make excellent alertdogs, wary but not shy with strangers. This is a vocal breed – in Finland, owners hold contests to crown a “King Barker” – and true Finn lovers are more delighted than annoyed by their breed’s yodeling and range of vocalization. Finkies are eager canine athletes and eye-catching show dogs known to be smart, sensitive, and captivating companions. The lively Finnish Spitz, the flame-colored, foxy-faced breed from the “Land of 60,000 Lakes,” is a small but fearless hunting dog whose unique style of tracking and indicating quarry has earned him the nickname the “Barking Bird Dog.”",39.37,50.8,9.0718474,14.968548210000002,13.0,15.0,Non-Sporting Group
Sloughi,4,3,3,3,1,1,Smooth,Short,2,3,2,3,3,4,2,3,https://www.akc.org/dog-breeds/sloughi/,https://www.akc.org/wp-content/uploads/2017/11/Sloughi-Illo.jpg,"The Sloughi (SLOO-ghee) is a classically constructed sighthound of ancient lineage, originally bred to work on such game as hare, fox, jackal, gazelle, and wild pigs on the punishing terrain of its homeland. This is a lean, no-frills hound standing between 24 to 29 inches at the shoulder. Coat colors include shades of light sand to mahogany red-fawn, with or without brindling, with or without black markings, with no invasive white markings. The Sloughi’s big, dark eyes are often described as “melancholy.” The ancient Sloughi, nicknamed the “Arabian Greyhound,” is a lean, swift coursing hound who hunted a variety of game in North African deserts. A classic sighthound, the Sloughi is regally aloof with strangers and gentle with loved ones.",60.96,73.66,15.875732950000002,22.6796185,10.0,15.0,Hound Group
